text,prop_label,hate_label,hate_fine_grained_label
زوجة ماكرون تصرح أن الحجاب يرعب ويخيف الأطفال..😅😂😂,1.0,0.0,0.0
#ده حال الادمن لمابنت تشتكيله من عضو دايقها ==ئ=,0.0,0.0,1.0
"سما الصدي : عاوزة آتجوز محمد صلاح شهر واحد وهيبقى أحسن لاعب في العالم
= !80  ٢ ابعدى عن الواد ياسما هياتم فضلت ورا شحاته ابو كف لحد ماجابت خبره ومن يومها والزمالك قاد",0.0,0.0,1.0
اما بابا يصحي الفجر ويلاقينا انا وماما واختي لسه صاحيين,0.0,0.0,1.0
"بم معربه معزن ولرانبه
طب والله العظيم لاحلق شعرى واجرى بعد الفجر واجدد اشتراك الجيم",0.0,0.0,1.0
"كل سنه وانتي معايا
قلت الكلام دد لكام واحدة قبلي ؟؟؟ 
اقسم بالله انتي اول استفتاح النهاردة",0.0,0.0,1.0
"٥ ما كوريا  الشمالية تعلن عن اكتشا فها العربية علاج لل ""إيدز "" 9""إيبولا""
7٥ لنك ال ٥707",1.0,0.0,1.0
إلى زوجتي المستقبلية ..سأجعلك تزورين هذا القسم كل سنة ,0.0,1.0,2.0
"يابنتي لازم تبقي تقيله ومتبينيش انك بتكراش عليه ....
*هي",0.0,0.0,1.0
"لما تلاقي الشير والستوري بعد الخناقة بدقيقة

انتي لحقتي تجيبي بوست لايق عالموقف !",1.0,0.0,1.0
"الغي الرحلة
نفسك ف ايه
ch0c041آ Nes(e NEFSYFEK :!45$!? =03
مااد ققخ ممت قة تج8ج
?01
ام
نسكويك يعي ا
ا٥
جامد 10 من 1٥ ونجمه
نسكويك ا٥",0.0,0.0,1.0
"
بتصوروا إيه !؟ ممنوع التصوير
كله يقهل موبايله ويركزف السلايدز

حضرتك إحنا فى مبنى الموساد !!؟",0.0,0.0,1.0
منو مخلي عماتي بالزيت,0.0,0.0,1.0
"اخوانى لقد تسرعنا ف الحكم على سياده الرئيس .
عاجل
السيسي يوجه بتعليق الدراسة بالمدارس والجامعات لمدة أسبوعين بدءا من الغد",1.0,0.0,0.0
"الصحة : نراهن على وعي الشعب

الشعب : ......

يالا نشتري لبس العييييييييييد
",1.0,0.0,1.0
"انا وصاحبتي ف رمضان
*صاحبتي* 
كل سنه وانتي طيبة واحلي رمضان هنقضيه سوا
me*
لا رمضان اي اللي نقضيه سوا كدا صيامنا هيضيع",0.0,0.0,1.0
"""أوقفنا إذا اردت خازوق على شكل دولة"" المجلس الانتقالي  الجنوبي
",1.0,1.0,3.0
"لما اسمع اللي معايا ف اللجنه بيقولوا محتاجين آله حاسبه ف سؤال انا عامل اجابته "" ابو بكر الصديق
Shar",0.0,0.0,1.0
اي حد هيتحرك من مكانه هيموت من الضحك,0.0,0.0,1.0
"عاملي بلوك وهزقني وقالي انا مش عاوزك
انا من اكونت تاني
إرجعلى",0.0,0.0,1.0
"مكتوب هني ان جيسس يمشي عالماي
 شحقه يمشي عالماي سمجه اهوه ؟",1.0,0.0,1.0
"اذ ا اشتديت بمصادي حلدل
&y=r2ز",0.0,0.0,1.0
"لما تكون الدغ فى حرف ال ر
صاحبك الروش
تعرف تقول امير الأمراء حفر بئر فى الصحراء
",0.0,0.0,1.0
"لا يابني السنه دي لازم نذاكر بجد

بص اهو نفس البوق المعفن بتاع كل سنه وفي الاخر بنقضيها في السمر كورس",0.0,0.0,1.0
"قاعد ف امان الله 
واحده معرفهاش :
هو انتي مرتبطه
اصل اخويا بيحبك",0.0,0.0,1.0
